0	5	3	6
8
6	40	100	10	40
500
3	1	241	65	10	(27,17),(176,17),(208,14),(270,18),(466,9),(618,12),(713,6),(740,8),(919,14),(936,8)
9	2	53	20	8	(25,19),(36,11),(76,5),(111,18),(125,9),(146,12),(171,14),(201,20)
15	3	279	69	0	
15	4	205	209	8	(119,20),(138,11),(187,15),(312,10),(483,16),(545,17),(685,5),(704,7)
22	5	26	44	5	(8,20),(23,15),(43,18),(50,19),(67,11)
22	6	118	98	9	(63,17),(115,19),(220,12),(241,18),(270,12),(383,19),(398,16),(506,15),(593,17)
26	7	186	181	9	(80,14),(188,9),(249,16),(296,18),(316,7),(442,8),(501,10),(636,12),(703,9)
32	8	94	42	8	(41,7),(98,19),(100,19),(166,12),(221,17),(305,19),(307,15),(338,17)
35	9	77	58	7	(32,17),(35,8),(64,7),(98,20),(168,14),(200,19),(273,10)
40	10	31	46	10	(14,6),(22,7),(33,5),(56,20),(73,19),(95,16),(98,15),(117,19),(141,5),(154,9)
43	11	139	172	3	(95,12),(205,18),(246,9)
49	12	17	54	1	(1,20)
53	13	246	101	5	(138,12),(369,12),(496,15),(498,10),(625,17)
54	14	199	204	4	(16,12),(131,7),(204,13),(340,13)
56	15	20	66	0	
58	16	166	108	0	
65	17	284	80	7	(245,6),(421,19),(422,7),(506,6),(591,17),(784,15),(921,12)
72	18	180	188	3	(99,11),(258,13),(331,15)
75	19	233	236	2	(163,7),(165,10)
80	20	108	133	6	(56,13),(116,7),(126,12),(213,8),(241,12),(294,5)
86	21	16	102	5	(14,7),(22,18),(29,17),(40,11),(42,5)
90	22	290	240	6	(212,6),(224,7),(295,5),(537,12),(778,18),(928,17)
97	23	151	131	0	
98	24	141	138	8	(97,16),(143,17),(234,18),(322,5),(393,15),(473,5),(509,7),(600,10)
101	25	87	170	5	(61,20),(110,6),(131,8),(143,8),(193,12)
107	26	195	157	1	(48,18)
110	27	132	124	7	(0,10),(92,11),(189,19),(209,18),(324,14),(426,17),(431,17)
114	28	237	161	1	(234,17)
118	29	263	291	3	(54,17),(311,10),(480,9)
124	30	221	276	2	(14,8),(53,6)
124	31	237	129	6	(132,13),(321,11),(495,16),(565,6),(706,13),(718,19)
130	32	160	255	7	(67,7),(164,17),(308,13),(442,12),(457,11),(509,17),(588,8)
136	33	172	267	3	(10,15),(47,7),(218,12)
136	34	141	165	5	(47,7),(153,5),(263,13),(350,12),(474,17)
136	35	275	391	7	(79,20),(230,15),(252,16),(516,6),(685,14),(722,13),(977,6)
141	36	268	246	8	(259,13),(289,8),(490,8),(723,12),(952,19),(1033,7),(1061,19),(1309,7)
141	37	165	181	3	(51,5),(83,10),(192,12)
143	38	260	403	9	(52,13),(166,19),(326,5),(331,18),(457,14),(468,11),(651,8),(659,14),(663,11)
147	39	245	229	5	(116,19),(168,17),(178,13),(240,16),(366,20)
153	40	154	239	1	(119,6)
160	41	185	223	3	(90,5),(238,12),(243,12)
164	42	162	219	4	(43,17),(158,5),(163,17),(303,16)
