TT	PID	CT	DL	IO_D		WT	RT	TRT
76	15	20	66	0		0	0	20
124	12	17	54	20		58	58	75
201	21	16	102	7		99	113	115
202	8	94	42	7		76	40	170
253	5	26	44	35		205	228	231
257	10	31	46	13		186	95	217
278	56	59	230	0		0	0	59
278	507	53	230	0		53	0	53
295	49	51	228	0		52	52	103
301	501	242	101	0		2	3	244
301	502	240	101	0		17	17	242
316	503	190	204	0		63	109	253
317	2	53	20	30		255	307	308
332	16	166	108	0		108	197	274
371	23	151	131	0		123	204	274
383	11	139	172	12		201	296	340
405	18	180	188	11		153	0	333
459	75	49	301	0		124	123	173
464	34	141	165	7		187	37	328
535	508	253	500	0		0	0	253
541	9	77	58	32		429	96	506
550	14	199	204	19		297	428	496
576	510	274	404	0		13	13	287
576	511	271	404	0		271	0	271
585	6	118	98	36		445	560	563
593	3	279	69	0		299	507	578
636	80	186	390	0		155	155	341
640	509	247	500	0		105	305	352
646	63	148	278	10		251	391	399
669	55	196	399	0		260	423	456
674	7	186	181	14		462	541	648
697	152	120	646	0		0	0	120
697	515	96	646	0		96	0	96
752	68	117	330	0		372	372	489
757	82	40	339	5		417	452	457
773	85	59	348	12		403	446	462
782	47	169	316	20		431	135	600
809	505	182	204	0		548	595	730
816	519	107	714	0		26	26	133
816	523	94	714	0		94	0	94
831	65	82	334	20		494	172	576
832	20	108	133	13		644	700	752
839	142	24	550	0		271	294	295
841	89	18	338	0		493	509	511
929	506	75	215	0		651	723	726
939	525	123	870	0		36	36	159
939	526	115	870	0		115	0	115
949	25	87	170	20		761	838	848
951	79	119	340	6		540	167	659
961	141	36	562	6		387	416	423
976	205	47	769	0		165	165	212
1005	45	75	215	17		759	831	834
1006	210	225	866	0		0	0	225
1007	167	121	714	0		257	377	378
1050	116	61	461	14		563	569	624
1069	517	60	643	0		370	369	430
1075	148	58	618	9		447	40	505
1082	40	154	239	6		775	894	929
1099	22	290	240	13		719	959	1009
1112	165	72	643	12		413	454	485
1118	71	141	277	9		710	815	851
1127	172	35	678	10		448	468	483
1155	516	37	618	0		487	487	524
1188	67	263	500	8		662	879	925
1213	87	243	498	0		651	650	894
1226	144	57	598	10		619	608	676
1226	514	55	598	0		640	315	656
1246	530	199	1042	0		38	38	237
1246	533	193	1042	0		193	0	193
1257	518	29	629	0		561	585	590
1261	317	65	1162	0		51	51	116
1265	46	70	231	34		1018	1084	1088
1282	537	97	1269	0		13	13	110
1317	28	237	161	17		966	1200	1203
1329	41	185	223	5		984	648	1169
1348	217	192	956	0		361	361	553
1362	120	284	457	19		633	844	917
1366	540	55	1274	0		35	35	90
1366	542	37	1274	0		37	0	37
1367	237	137	876	0		363	363	500
1371	24	141	138	16		1132	1269	1273
1393	538	88	1269	0		111	111	199
1424	61	17	251	14		1171	1180	1188
